4,0,0,1,0
8,0,1,0,0
12,1,0,0,0
16,0,1,0,0
20,0,0,1,0
24,1,0,0,1
28,0,1,0,0
31,0,0,1,0
34,0,0,0,1
37,0,0,1,0
39,0,0,0,1
41,0,1,0,0
57,1,0,0,0
60,0,0,1,0
63,0,1,0,0
66,0,0,0,1
69,0,1,0,0
71,0,0,1,0
73,1,1,0,0
88,0,0,0,1
91,0,0,1,0
94,0,1,0,0
97,1,0,0,0
100,0,1,0,0
102,0,0,1,0
104,0,1,0,0
120,1,0,0,0
123,0,1,0,0
126,0,0,1,0
129,0,0,0,1
132,0,0,1,0
134,0,1,0,0
136,0,0,1,0
152,0,0,0,1
156,0,0,0,1
160,0,0,1,0
164,0,0,1,0
168,0,1,0,0
172,0,1,0,0
176,1,0,0,0
180,1,0,0,0
181,0,1,1,0
184,0,0,0,1
188,0,0,1,0
192,0,1,0,0
196,1,0,0,0
200,1,0,0,0
204,0,1,0,0
208,0,0,1,0
212,0,0,0,1
216,0,0,1,0
220,0,0,1,0
224,0,0,1,0
228,0,0,0,1
232,0,1,0,0
236,0,1,0,0
240,0,1,0,0
244,1,0,0,0
248,0,0,0,1
252,0,0,0,1
256,0,0,0,1
260,0,0,1,0
264,1,0,0,0
268,1,0,0,0
272,1,0,0,0
276,0,1,0,0
