4,0,0,1,0
8,0,1,0,0
12,1,0,0,0
16,0,1,0,0
20,0,0,1,0
24,1,0,0,1
28,0,1,0,0
30,1,0,0,0
31,0,0,1,0
33,0,1,0,0
34,0,0,0,1
36,1,0,0,0
37,0,0,1,0
39,0,0,0,1
41,0,1,0,0
57,1,0,0,0
59,0,0,0,1
60,0,0,1,0
62,1,0,0,0
63,0,1,0,0
65,1,0,0,0
66,0,0,0,1
69,0,1,0,0
71,0,0,1,0
73,1,1,0,0
88,0,0,0,1
89,0,0,1,0
90,0,1,0,0
91,1,0,0,1
92,0,1,0,0
93,0,0,1,0
94,1,0,0,1
95,0,0,1,0
96,0,1,0,0
97,1,0,0,1
98,0,0,1,0
99,0,1,0,0
100,1,0,0,1
101,0,0,1,0
102,0,1,0,0
103,1,0,0,0
104,0,0,1,1
120,1,0,0,0
121,0,1,0,0
122,0,0,1,0
123,0,1,0,0
124,0,0,1,0
125,0,0,0,1
126,0,0,0,1
127,0,0,1,0
128,0,1,0,0
129,0,0,1,0
130,0,1,0,0
131,1,0,0,0
132,0,0,1,1
133,1,1,0,0
134,0,0,1,1
135,1,1,0,0
136,0,0,1,1
152,1,0,0,1
154,0,0,0,1
155,0,1,0,0
156,0,0,1,0
157,1,0,0,0
158,0,0,0,1
159,0,1,0,0
160,0,0,1,0
161,1,0,0,0
162,0,1,0,1
163,1,0,0,0
164,0,1,0,1
165,0,0,1,0
166,1,1,0,0
167,0,0,1,1
168,1,1,1,0
170,1,1,1,1
172,0,1,1,1
174,0,0,1,1
176,0,0,0,1
177,1,0,0,0
178,0,0,1,1
179,1,1,0,0
180,0,0,0,1
181,1,1,0,0
182,0,0,1,1
183,1,1,0,0
184,0,0,1,1
185,1,0,0,0
186,0,1,0,0
187,0,0,1,0
188,0,0,1,0
189,0,1,0,0
190,1,0,0,0
191,0,0,0,1
192,0,0,1,0
193,0,1,0,0
194,0,1,0,0
195,0,0,1,0
196,0,0,0,1
197,1,0,0,0
198,0,1,0,0
199,0,0,1,0
200,0,0,0,1
201,1,0,0,0
202,0,1,0,0
203,1,0,0,0
204,0,1,0,0
205,0,0,1,0
206,0,1,0,0
207,0,0,1,0
208,0,1,0,0
209,0,0,1,0
210,0,0,0,1
211,0,0,1,0
212,0,0,0,1
213,0,0,1,0
214,0,1,0,0
215,1,0,0,0
216,0,0,1,1
220,0,0,1,1
222,0,1,1,0
224,0,0,1,1
227,0,1,0,0
228,1,0,0,0
229,0,1,0,0
232,1,1,0,0
236,1,1,0,0
238,0,1,1,0
240,0,0,1,1
243,0,1,0,0
244,1,0,0,0
245,0,1,0,0
248,0,1,1,0
252,0,1,1,0
254,1,0,0,1
256,0,1,1,0
259,0,0,0,1
260,1,0,0,0
261,0,0,0,1
264,1,1,0,0
268,0,0,1,1
270,1,1,0,0
272,0,0,1,1
276,1,1,1,1
